Item Description,GTIN,Pack Type,Price,UOM,Category
Drink Fruit Punch PET,10041800301970,12/16 oz,$17.39,CS,Bottled Drinks
Drink Ginger Lemon,10860439001026,12/12 oz,$19.48,CS,Canned Drinks
Drink Grape Cocktail PET,10041800301963,12/16 oz,$17.39,CS,Bottled 100% Juice
Drink Grape PET,10041800326003,24/10 oz,$16.70,CS,Bottled Drinks
Drink Grape Prebiotic Sleek Cn,10850062639123,12/12 oz,$19.48,CS,Canned Drinks
Drink Mango Aqua Fresca,00025000131394,24/16 oz,$40.52,CS,Canned Drinks
DRINK MIX BANANA FRZN,10037597504007,12/32 OZ,$84.39,CS,MISC
DRINK MIX FRUIT PUNCH,10074865093221,12/24 OZ,$48.38,CS,MISC.
DRINK MIX GREEN TEA POWDER,20835143012177,6/8 OZ,$92.65,CS,DRY
DRINK MIX GUAVA FRZN,10037597504403,12/32OZ,$84.39,CS,LIQUID
DRINK MIX HURRICANE FRZN,10037597506605,12/32 OZ,$84.39,CS,MISC
DRINK MIX ICE CREAM FRZN,10037597501501,12/32 OZ,$90.64,CS,MISC
DRINK MIX LEMONADE,10043000013981,15/2 GAL,$66.06,CS,MULTISERVE
DRINK MIX LEMONADE ON THE GO,10043000007966,4/30 CT,$34.44,CS,DRY
DRINK MIX MANGO FRZN,10037597501204,12/32 OZ,$84.39,CS,MISC
DRINK MIX ON THE GO FRT PUNCH,10043000000066,4/30 CT,$35.82,CS,MISC.
DRINK MIX PASSN FRUIT FRZN,10037597501259,12/32 OZ,$84.39,CS,MISC
DRINK MIX PEACH FRZN,10037597507008,12/32 OZ,$84.39,CS,MISC
DRINK MIX PEACH TEA ON THE GO,10043000007973,4/30 CT,$35.82,CS,DRY
DRINK MIX PINA COLADA FRZN,10037597503000,12/32 OZ,$84.39,CS,MISC
