Item Description,GTIN,Pack Type,Price,UOM,Category
MUFFIN BATTER CRANBERRY ORANGE,,1 / 18 LB,$104.40,CS,BAKERY
MUFFIN BATTER GF BANANA NUT,00860009545151,1 / 18 LB,$106.98,CS,BAKERY
MUFFIN BATTER LEMON POPPY SEED,00860011776413,1 / 18 LB,$86.96,CS,BAKERY
MUFFIN BATTER MAUI MORNING,00860011776420,1 / 18 LB,$93.61,CS,BAKERY
MUFFIN BATTER ZUCCHINI,00799632399421,1 / 18 LB,$91.51,CS,BAKERY
MUFFIN BLUEBERRY CRUMB SUPREME,10013087062011,24/4 OZ,$28.75,CS,FULLY BKD BULK
MUFFIN BLUEBERRY GLUTEN FRE IW,10698997806452,36/3OZ,$63.19,CS,FULLY BKD IND W
MUFFIN BLUEBERRY GLUTEN FREE,00736211338174,24/2.5 OZ,$56.77,CS,MISC.
MUFFIN BLUEBERRY WG RF IW,10013087101437,72/2 OZ,$33.26,CS,FULLY BKD IND W
MUFFIN CHOC CHOC CHP IW DEL ES,10013087101451,72/2 OZ,$35.24,CS,FULLY BKD IND W
MUFFIN ENGLISH PLAIN FKSPLT,10823056300019,72/2 OZ,$23.47,CS,ENGLISH MUFFIN
MUFFIN ENGLISH PLAIN FRKSPLT,10823056300064,48/3 OZ,$24.91,CS,ENGLISH MUFFIN
MUFFIN ENGLISH WHL GRAIN SLI,10823056880016,72/2 OZ,$25.67,CS,ENGLISH MUFFIN
MUFFIN VARIETY BLU/BAN/LEMON,10032100087671,162/.9 OZ,$54.63,CS,FULLY BKD BULK
MUFFIN VARIETY IW,10013087012658,60/4 OZ,$71.87,CS,FULLY BKD IND W
PANCAKE BUTTERMILK 4,00038000146886,12/12 CT,$30.06,CS,PANCAKES
PANCAKE MAPLE MINIS,00038000925627,72/3.03OZ,$47.53,CS,PANCAKES
PANCAKE WHEAT CONFETTI,00038000185748,72/3.03OZ,$47.53,CS,PANCAKES
PASTRY ARTISAN MINI ASSORTMENT,10686023000042,3 / 32 CT,$88.00,CS,BAKERY
PASTRY GOURMET MINI ASSORTMENT,10686023000059,3 / 32 CT,$114.54,CS,BAKERY
PASTRY SHELL SWT 2 GF,35289600078008,1/70CT,$62.24,CS,MISC
PATE A GLACER  DARK BRUNE,13073419202536,1 / 11 LB,$97.08,CS,PANTRY
PIE PEANUT BUTTER 14 CUT,,2 / 10 IN,$130.65,CS,BAKERY
PIE SHELL RTB 10IN VEG,10032100092729,4/5CT,$27.71,CS,SHELLS/LIDS RAW
PIZZA CRUST CAULIFLWR GF 10,00049800118195,24/5.2 OZ,$62.71,CS,PAR BAKED CRUST
PIZZA CRUST PARBK WOOD FIRED,10075383456130,"20/11""",$37.00,CS,PAR BAKED CRUST
PLAIN BAGEL GLUTEN FREE,10698997809545,8 / 14 OZ,$53.53,CS,BAKERY
POLENTA MEDALLION FIRE RSTD VEG K409,00745378409016,24 / 7 OZ,$108.70,CS,PREPARED FOODS
PUDDING BANANA RTU TFF,10071079167038,6/#10,$48.96,CS,READY TO SERVE
PUDDING BREAD CRML/RSN,00811699013789,2/96 OZ,$64.28,CS,BULK
PUDDING CHOCOLATE SNACK PACK,10027000554187,48/3.5 OZ,$22.44,CS,MISC
PUDDING CHOCOLATE SNACK SGR FR,20027000419049,48/3.25OZ,$17.50,CS,READY TO SERVE
PUDDING CHOCOLATE TFF,10071079167014,6/#10,$48.51,CS,READY TO SERVE
PUDDING MIX BANANA CREAM INST,10037500769509,12/24 OZ,$67.48,CS,INSTANT
PUDDING MIX VANILLA INST,10074865103791,12/24OZ,$52.82,CS,INSTANT
PUDDING MIX VANILLA INST,10037500764504,12/24 OZ,$64.82,CS,INSTANT
